Mu Sigma,Tier 3 - Decision Science,Bengaluru,Decision sciences pioneer,https://www.mu-sigma.com/careers,https://www.linkedin.com/company/mu-sigma,https://www.mu-sigma.com,Famous Decision Scientist fresher program,Decision Scientist (entry-level),6-10L
LatentView Analytics,Tier 3 - Decision Science,Chennai,Analytics + AI consulting (listed),https://www.latentview.com/career/,https://www.linkedin.com/company/latentview-analytics,https://www.latentview.com,Consistent campus intake,"Data Analyst, Data Scientist",6-10L
Course5 Intelligence,Tier 3 - Decision Science,Mumbai,Analytics + GenAI consulting,https://www.course5i.com/careers,https://www.linkedin.com/company/course5i,https://www.course5i.com,Strong GenAI practice,"Analyst, Data Scientist",6-10L
Razorpay,Tier 4 - Product Startup,Bengaluru,"Fintech; risk, fraud, recommendation ML",https://razorpay.com/jobs,https://www.linkedin.com/company/razorpay,https://razorpay.com,Strong eng brand; needs strong portfolio,"Data Scientist, ML Engineer",12-20L
CRED,Tier 4 - Product Startup,Bengaluru,"Fintech; underwriting, recsys, fraud ML",https://careers.cred.club/openings,https://www.linkedin.com/company/cred-club,https://cred.club,Selective; portfolio + Kaggle helps,"Data Scientist, ML Engineer",15-25L
Zomato / Blinkit,Tier 4 - Product Startup,Gurugram,"Food/quick-commerce; demand forecasting, recsys",https://www.zomato.com/careers,https://www.linkedin.com/company/zomato,https://www.zomato.com,High-scale data problems,"Data Scientist, ML Engineer",12-22L
Swiggy,Tier 4 - Product Startup,Bengaluru,"Food delivery; logistics, ETA, recsys",https://careers.swiggy.com,https://www.linkedin.com/company/swiggy,https://www.swiggy.com,Hires fresh grads from Tier 1 colleges,"Data Scientist, ML Engineer",12-22L
Meesho,Tier 4 - Product Startup,Bengaluru,"Social commerce; pricing, recsys, fraud",https://www.meesho.io/jobs,https://www.linkedin.com/company/meesho,https://www.meesho.io,Active fresher hiring,"Data Scientist, ML Engineer",15-25L
PhonePe,Tier 4 - Product Startup,Bengaluru,"Payments / fintech; fraud, risk, recsys",https://www.phonepe.com/careers,https://www.linkedin.com/company/phonepe,https://www.phonepe.com,Walmart-backed,"Data Scientist, ML Engineer",15-25L
Atlan,Tier 4 - Product Startup,Delhi NCR,Data catalog / data ops platform,https://atlan.com/careers,https://www.linkedin.com/company/atlanhq,https://atlan.com,Gartner Leader; ~$850M valuation,"Data Engineer, ML Engineer",12-22L
Postman,Tier 4 - Product Startup,Bengaluru,API platform; uses ML for dev tooling,https://www.postman.com/company/careers,https://www.linkedin.com/company/postman,https://www.postman.com,Strong eng culture,"Data Scientist, ML Engineer",15-28L
