Company,Category,HQ / Base,Remote Policy,What They Do,Typical Tech Roles,LinkedIn,Careers Page,Website
Zenduty,B2B SaaS,Bengaluru / Remote,Remote-friendly,Incident management and on-call alerting platform,"Python/Django, SRE, Frontend",https://www.linkedin.com/company/zenduty/,https://www.zenduty.com/careers/,https://www.zenduty.com/
Whatfix,B2B SaaS,Bengaluru / San Jose,Hybrid (remote roles),Digital adoption platform for enterprise software,"Java, Frontend, Customer Success",https://www.linkedin.com/company/whatfix/,https://whatfix.com/careers/,https://whatfix.com/
CleverTap,B2B SaaS,Mumbai / Remote,Hybrid (remote roles),Customer engagement and retention platform,"Backend, Data Eng, ML",https://www.linkedin.com/company/clevertap/,https://clevertap.com/careers/,https://clevertap.com/
MoEngage,B2B SaaS,Bengaluru / San Francisco,Hybrid (remote roles),Insights-led customer engagement platform,"Python, Data Eng, Frontend",https://www.linkedin.com/company/moengage/,https://www.moengage.com/careers/,https://www.moengage.com/
Zuddl,B2B SaaS,Remote (India/US),Remote-first,Event and webinar platform for B2B marketers,"Full-stack, Video Eng, Design",https://www.linkedin.com/company/zuddl/,https://www.zuddl.com/careers,https://www.zuddl.com/
Airmeet,B2B SaaS,Remote (Bengaluru roots),Fully remote,Virtual and hybrid event platform,"Backend, WebRTC, Frontend",https://www.linkedin.com/company/airmeet/,https://www.airmeet.com/hub/careers/,https://www.airmeet.com/
InVideo,B2B SaaS,Mumbai / Remote,Remote-friendly,AI video creation platform with 25M+ users,"Full-stack, ML, Video Eng",https://www.linkedin.com/company/invideo/,https://invideo.io/careers/,https://invideo.io/
JustCall (SaaS Labs),B2B SaaS,Remote (Delhi NCR roots),Remote-first,AI-powered business phone and contact center software,"Full-stack, AI/ML, Product",https://www.linkedin.com/company/saas-labs/,https://saaslabs.co/careers/,https://justcall.io/
Testsigma,Testing & QA,Bengaluru / US,Remote-friendly,Low-code AI-driven test automation platform,"SDET, Java, Frontend",https://www.linkedin.com/company/testsigma/,https://testsigma.com/careers,https://testsigma.com/
LambdaTest,Testing & QA,Noida / San Francisco,Hybrid (remote roles),Cloud-based cross-browser and app testing platform,"SDET, Backend, DevOps",https://www.linkedin.com/company/lambdatest/,https://www.lambdatest.com/careers,https://www.lambdatest.com/
Avoma,AI & ML,Pune / US,Remote-first,AI meeting assistant and conversation intelligence,"ML/NLP, Full-stack, Data",https://www.linkedin.com/company/avoma/,https://www.avoma.com/careers,https://www.avoma.com/
Observe.AI,AI & ML,Bengaluru / San Francisco,Hybrid (remote roles),Conversation intelligence for contact centers,"ML, Speech, Backend",https://www.linkedin.com/company/observeai/,https://www.observe.ai/careers,https://www.observe.ai/
Leena AI,AI & ML,Delhi NCR / New York,Remote-friendly,Agentic AI assistant for employee experience (HR/IT),"NLP, Backend, Frontend",https://www.linkedin.com/company/leena-ai/,https://leena.ai/careers,https://leena.ai/
Julep AI,AI & ML,Remote (India/US),Remote-first,Open-source platform for building AI agent workflows,"Python, LLM Eng, DevRel",https://www.linkedin.com/company/julep-ai/,https://julep.ai/,https://julep.ai/
Composio,AI & ML,Remote (Bengaluru/SF),Remote-friendly,Tooling and integrations platform for AI agents,"Python/TS, LLM Eng, DevRel",https://www.linkedin.com/company/composiohq/,https://composio.dev/careers,https://composio.dev/
Portkey AI,AI & ML,Remote (Bengaluru roots),Remote-friendly,AI gateway and observability for LLM apps in production,"Backend, LLM Eng, Solutions",https://www.linkedin.com/company/portkey-ai/,https://portkey.ai/,https://portkey.ai/
Mem0,AI & ML,Remote (SF/India roots),Remote-first,Open-source memory layer for AI agents and LLM apps,"Python, LLM Eng, DevRel",https://www.linkedin.com/company/mem0/,https://mem0.ai/,https://mem0.ai/
inFeedo,AI & ML,Gurugram / Remote,Remote-friendly,AI-powered employee experience platform (Amber),"ML/NLP, Full-stack, Product",https://www.linkedin.com/company/infeedo/,https://www.infeedo.ai/careers,https://www.infeedo.ai/
Plivo,CPaaS & Communication,Bengaluru / Austin,Remote-friendly,"Cloud communications platform - SMS, voice, WhatsApp APIs","Backend (Python/Go), SRE, QA",https://www.linkedin.com/company/plivo/,https://www.plivo.com/careers/,https://www.plivo.com/
Exotel,CPaaS & Communication,Bengaluru,Hybrid (remote roles),Customer engagement platform - cloud telephony and CPaaS,"Backend, VoIP, Data Eng",https://www.linkedin.com/company/exotel/,https://exotel.com/careers/,https://exotel.com/
100ms,CPaaS & Communication,Bengaluru / Remote,Remote-friendly,Live video and audio SDK infrastructure for apps,"WebRTC, Mobile SDK, Backend",https://www.linkedin.com/company/100mslive/,https://www.100ms.live/careers,https://www.100ms.live/
Wati,CPaaS & Communication,Remote (India/HK),Remote-first,WhatsApp Business API platform for SMBs,"Full-stack (.NET/React), Support",https://www.linkedin.com/company/wati-io/,https://www.wati.io/careers/,https://www.wati.io/
Gallabox,CPaaS & Communication,Chennai,Hybrid (remote roles),WhatsApp-led conversational commerce for SMBs,"Node.js, Frontend, Customer Success",https://www.linkedin.com/company/gallabox/,https://gallabox.com/careers,https://gallabox.com/
Zerodha,Fintech,Bengaluru / Remote,Remote-first,India's largest retail stockbroker - bootstrapped and profitable,"Python, Go, Frontend, Ops",https://www.linkedin.com/company/zerodha/,https://zerodha.com/careers/,https://zerodha.com/
Razorpay,Fintech,Bengaluru,Hybrid (remote roles),Full-stack payments and banking platform for businesses,"Backend (Go/PHP), Frontend, Data",https://www.linkedin.com/company/razorpay/,https://razorpay.com/jobs/,https://razorpay.com/
Cashfree Payments,Fintech,Bengaluru,Hybrid (remote roles),"Payments and API banking platform - payouts, collections","Java, Backend, Risk, QA",https://www.linkedin.com/company/cashfree/,https://www.cashfree.com/careers/,https://www.cashfree.com/
Khatabook,Fintech,Bengaluru / Remote,Remote-friendly,Digital ledger and financial services for MSMEs,"Android, Backend, Data",https://www.linkedin.com/company/khatabook/,https://khatabook.com/careers,https://khatabook.com/
Setu,Fintech,Bengaluru / Remote,Remote-friendly,API infrastructure for financial services (acquired by Pine Labs),"Backend, API Design, Solutions",https://www.linkedin.com/company/setu-co/,https://setu.co/careers,https://setu.co/
Smallcase,Fintech,Bengaluru,Hybrid (remote roles),Stock portfolio investing platform built on broker APIs,"Node.js, Frontend, Data",https://www.linkedin.com/company/smallcase/,https://www.smallcase.com/careers,https://www.smallcase.com/
Jupiter Money,Fintech,Bengaluru / Mumbai,Hybrid (remote roles),Digital banking app on the co-created banking stack,"Backend (Kotlin/Java), Mobile",https://www.linkedin.com/company/jupiter-money/,https://jupiter.money/careers/,https://jupiter.money/
Decentro,Fintech,Remote (Bengaluru roots),Remote-first,API banking and fintech infrastructure platform,"Backend, Integrations, Product",https://www.linkedin.com/company/decentro/,https://decentro.tech/careers/,https://decentro.tech/
Volopay,Fintech,Remote (India/Singapore),Remote-friendly,Corporate cards and spend management for businesses,"Ruby, React, QA",https://www.linkedin.com/company/volopay/,https://www.volopay.com/careers/,https://www.volopay.com/
Zenskar,Fintech,Remote (India/New York),Remote-first,Usage-based billing and revenue automation for SaaS,"Backend (Python), Frontend, Solutions",https://www.linkedin.com/company/zenskar/,https://www.zenskar.com/careers,https://www.zenskar.com/
Plum,Fintech,Bengaluru / Remote,Remote-friendly,Employee health insurance and benefits platform,"Full-stack, Data, Product",https://www.linkedin.com/company/plumhq/,https://www.plumhq.com/careers,https://www.plumhq.com/
Nova Benefits,Fintech,Remote (Bengaluru roots),Remote-first,Employee health insurance and wellness platform,"Full-stack, Backend, Design",https://www.linkedin.com/company/nova-benefits/,https://www.novabenefits.com/careers,https://www.novabenefits.com/
CoinDCX,Crypto & Web3,Remote (Mumbai roots),Remote-first,India's largest crypto exchange,"Backend, Blockchain, Security",https://www.linkedin.com/company/coindcx/,https://coindcx.com/careers,https://coindcx.com/
CoinSwitch,Crypto & Web3,Bengaluru,Hybrid (remote roles),Crypto and wealth-tech investing app,"Backend, Mobile, Data",https://www.linkedin.com/company/coinswitch/,https://coinswitch.co/careers,https://coinswitch.co/
,,,,,,,,
More remote startups lists are added in the Startup Bundle ,,,,,,,,
