Indian Robotics Startups — Database,,,,,,,,,
"101 companies across warehouse/AMR, drones & UAVs, surgical & medical, agritech, underwater/inspection, defence, service and consumer robotics  |  Compiled Jun 2026",,,,,,,,,
How to use: The Website column is the primary verified anchor for each company. LinkedIn = linkedin.com/company/<slug>; Careers = website + /careers (the most common pattern).,,,,,,,,,
"Most startups also post roles on LinkedIn Jobs and Wellfound (wellfound.com). If a /careers path 404s, try /careers/, /jobs, or the company's LinkedIn 'Jobs' tab.",,,,,,,,,
"Rows flagged 'Verify domain' in Notes: company is real but the exact domain/slug should be confirmed before bulk use. Excludes MNC India arms (FANUC, ABB, Medtronic, Intuitive) and PSUs (HAL, DRDO).",,,,,,,,,
,,,,,,,,,
 Get the Startup Bundle for more lists,,,,,,,,,
,,,,,,,,,
#,Company,Category,HQ City,Founded,What they do,Website,LinkedIn,Careers Page,Notes
72,Vecros Technologies,Autonomous inspection drones,New Delhi,2019,AI autonomous indoor inspection drones (Athera),https://vecros.com,https://www.linkedin.com/company/vecros,https://vecros.com/careers,
73,Flytbase,Drone autonomy software,Pune,2016,FlytBase autonomous drone operations & docking software,https://flytbase.com,https://www.linkedin.com/company/flytbase,https://flytbase.com/careers,
74,DronaMaps,Drone GIS / digital twins,Gurugram,2017,Geospatial digital twins & governance dashboards from drone data,https://dronamaps.com,https://www.linkedin.com/company/dronamaps,https://dronamaps.com/careers,
75,IG Drones,Drone solutions & training,Bhubaneswar,2018,"Drone manufacturing, surveying & training",https://igdrones.com,https://www.linkedin.com/company/ig-drones,https://igdrones.com/careers,
76,Skye Air Mobility,Drone delivery network,Gurugram,2021,Drone-logistics network for healthcare & e-commerce,https://skyeair.co,https://www.linkedin.com/company/skye-air-mobility,https://skyeair.co/careers,
77,Endure Air Systems,Logistics drones,Kanpur,2019,Unmanned helicopter & logistics drones (IIT-Kanpur),https://endureair.com,https://www.linkedin.com/company/endure-air-systems,https://endureair.com/careers,Verify domain
78,Hubblefly Technologies,Drones (defence/enterprise),Hyderabad,2018,UAV systems & navigation for defence and enterprise,https://hubblefly.com,https://www.linkedin.com/company/hubblefly,https://hubblefly.com/careers,Verify domain
79,Edall Systems,Drones & UAV training,Bengaluru,2016,UAV design/manufacturing and aero R&D,https://edallsystems.com,https://www.linkedin.com/company/edall-systems,https://edallsystems.com/careers,Verify domain
80,Aeroarc,Aerial & terrestrial robots,Bengaluru,2017,Rugged aerial & ground unmanned systems for harsh conditions,https://aeroarc.in,https://www.linkedin.com/company/aeroarc,https://aeroarc.in/careers,Verify domain
81,AirpiX,Drone inspection & geospatial,Mumbai,2015,On-demand drone inspection & geospatial data,https://airpix.in,https://www.linkedin.com/company/airpix,https://airpix.in/careers,Verify domain
82,Drona Aviation,Developer drone platform,Mumbai,2014,Pluto programmable nano-drone platform (IIT-Bombay),https://dronaaviation.com,https://www.linkedin.com/company/drona-aviation,https://dronaaviation.com/careers,
83,Omnipresent Robot Tech,Inspection drones & robots,New Delhi,2012,"Inspection drones, rovers & robotics for utilities/space",https://omnipresent.in,https://www.linkedin.com/company/omnipresent-robot-tech,https://omnipresent.in/careers,Verify domain
84,Botlab Dynamics,Drone light shows,New Delhi,2016,Swarm drone light-show systems (IIT-Delhi),https://botlabdynamics.com,https://www.linkedin.com/company/botlab-dynamics,https://botlabdynamics.com/careers,Verify domain
85,Quidich Innovation Labs,Drone cinematography,Mumbai,2013,Drone & camera systems for live sports broadcast,https://quidich.com,https://www.linkedin.com/company/quidich-innovation-labs,https://quidich.com/careers,
86,Crystal Ball Technologies,Tethered surveillance drones,Faridabad,2015,Tethered surveillance & aerostat drone systems,https://crystalball.in,https://www.linkedin.com/company/crystal-ball-technologies,https://crystalball.in/careers,Verify domain
87,Thanos Technologies,Defence / agri drones,Hyderabad,2017,UAV manufacturing for defence and agriculture,https://thanostechnologies.com,https://www.linkedin.com/company/thanos-technologies,https://thanostechnologies.com/careers,Verify domain
88,Enord,Drones & autonomous systems,Mohali,2019,Drone hardware & autonomous robotics R&D,https://enord.in,https://www.linkedin.com/company/enord,https://enord.in/careers,Verify domain
89,SP Robotic Works,Education robotics,Chennai,2012,Robotics & coding learning kits and academies,https://sproboticworks.com,https://www.linkedin.com/company/sp-robotic-works,https://sproboticworks.com/careers,
90,Avishkaar,Education robotics,New Delhi,2015,STEM robotics kits & coding platform for schools,https://avishkaar.cc,https://www.linkedin.com/company/avishkaar,https://avishkaar.cc/careers,
91,STEMpedia,Education robotics,Ahmedabad,2016,Evive boards & PictoBlox robotics/AI learning platform,https://thestempedia.com,https://www.linkedin.com/company/stempedia,https://thestempedia.com/careers,
92,Lema Labs,Education robotics,Chennai,2016,"Robotics training, labs & workshops (IIT-Madras incubated)",https://lemalabs.com,https://www.linkedin.com/company/lema-labs,https://lemalabs.com/careers,Verify domain
93,Proxgy,Robotics / IoT / avatars,New Delhi,2020,"Tele-robotics, smart helmets & avatar robots",https://proxgy.com,https://www.linkedin.com/company/proxgy,https://proxgy.com/careers,
94,Jeyam Robotics,Industrial & education robots,Coimbatore,2018,Industrial automation & robotics training solutions,https://jeyamrobotics.com,https://www.linkedin.com/company/jeyam-robotics,https://jeyamrobotics.com/careers,Verify domain
95,Robolab Technologies,Education robotics / labs,Pune,2015,"Robotics labs, tinkering labs & STEM infrastructure for institutions",https://robolab.in,https://www.linkedin.com/company/robolab-technologies,https://robolab.in/careers,Verify domain
96,Witblox,Education robotics,Mumbai,2016,DIY magnetic robotics & electronics kits for kids,https://witblox.com,https://www.linkedin.com/company/witblox,https://witblox.com/careers,
97,Carnot Technologies,Agritech automation,Pune,2016,Smart-tractor automation & connected-farming hardware,https://carnot.co.in,https://www.linkedin.com/company/carnot-technologies,https://carnot.co.in/careers,Verify domain
98,Optimized Electrotech,Defence imaging / UAV payloads,Gandhinagar,2017,Electro-optical surveillance payloads for drones & defence,https://optimizedelectrotech.com,https://www.linkedin.com/company/optimized-electrotech,https://optimizedelectrotech.com/careers,
99,Genrobotics Medical Mobility,Rehab robotics (exoskeletons),Kollam,2020,G-Gaiter robotic exoskeletons for gait rehabilitation,https://genroboticsmedical.com,https://www.linkedin.com/company/genrobotics-medical-mobility,https://genroboticsmedical.com/careers,Verify domain
100,VTOL Aviation India,Drones / VTOL UAVs,Bengaluru,2018,VTOL & fixed-wing UAVs for survey and surveillance,https://vtolaviation.com,https://www.linkedin.com/company/vtol-aviation-india,https://vtolaviation.com/careers,Verify domain
101,Johnnette Technologies,Drones,Hyderabad,2017,"UAV manufacturing for survey, security & enterprise",https://johnnette.com,https://www.linkedin.com/company/johnnette-technologies,https://johnnette.com/careers,Verify domain
,,,,,,,,,
 Get the Startup Bundle for more lists,,,,,,,,,
